MAHALLE_KOY_NO,MAHALLE_KOY_ADI
2996,ADATOPRAKPINAR
2997,AVDANLI
2998,G‹LPINAR
2999,HACIMUSA
3000,HACIMUSLU
3001,HACIOSMANO–LU
3002,ILICA
3003,›NLER
3004,KABAKK÷Y
3005,KARABENL›
3006,KARAHAMZALI
3007,KARAKUYU
3008,KOCAHACILI
3009,÷RDEKG÷L‹
3010,÷ZYURT
3011,SABANCA
3012,SARIHAL›L
3013,S›NANLI
3014,ﬁIHAHMETL›
3015,TOYDEM›R
3016,T‹RKTAC›R›
3017,UZUNBEY
3018,YA–CIO–LU
3019,YARALI
3020,YILDIZLI
3021,YEﬁ›L÷Z
3022,T‹FEK«›O–LU
3023,Y‹Z‹KBAﬁI
3024,CUMHUR›YET
3025,ESENTEPE
3026,FAT›H
3027,GAZ›
3028,G‹LVEREN
3029,›ST›KLAL
3030,KURTULUﬁ
3031,MEHMETAK›F
3032,YEN›
3033,ZAFER
3034,YEN› KARAK÷Y
3035,K÷SREL›KKIZI–I
3036,AYYILDIZ
3037,FAT›H
3038,MERKEZ
3039,YUNUS EMRE
3040,KARﬁIYAKA
3041,KARAK÷Y
3042,S›RKEL› YEﬁ›LOVA
3043,PE«ENEK
3044,S›RKEL› YEﬁ›LYURT
3045,YILDIRIMBEYAZIT
3046,YUVA
3047,SARAY FAT›H
3048,SARAY G‹M‹ﬁOLUK
3049,SARAY OSMANGAZ›
3050,ABADAN
3051,SARAY CUMHUR›YET
3052,TEVF›K ›LER›
3053,M›MAR S›NAN
3054,ALTINOVA
3055,H‹RR›YET
3056,BACI 
3057,BEYOBASI
3058,G›RME«
3059,ATAT‹RK
3060,FEVZ› «AKMAK
3061,H›SARLIKAYA
3062,ALCI
3063,CUMHUR›YET
3064,AK«A÷REN
3065,YEN›H›SAR
3066,ADALET
3067,ALAG÷Z
3068,AH› EVRAN
3069,AND›«EN
3070,ERTU–RULGAZ›
3071,MALAZG›RT
3072,OSMANLI
3073,SEL«UKLU
3074,T÷REKENT
3075,MEVLANA
3076,G÷K«EK
3077,AKﬁEMSETT›N
3078,YUNUS EMRE
3079,M‹LK
3080,MENDERES
3081,YEN›KAYI
3082,GAZ›
3083,29.10.2025
3084,›NC›RL›K
3085,MALIK÷Y
3086,«O–LU
3087,ERKEKSU
3088,›ST›KLAL
3089,‹CRET
3090,KES›KTAﬁ
3091,T‹RKOBASI
3092,›LYAKUT
3093,«OK÷REN
3094,ANAYURT
3095,OSMAN›YE
3096,POLATLAR
3097,SARAYCIK
3098,TATLAR
3099,YEN›«›Mﬁ›T
3100,YEN›PE«ENEK
3101,MUSTAFA KEMAL
3102,FAT›H
3103,GAZ› OSMANPAﬁA
3104,›STASYON
3105,MARAﬁAL «AKMAK
3106,TANDO–AN
3107,PINARBAﬁI
3108,PLEVNE
3109,ULUBATLI HASAN
3110,«›«EKTEPE
3111,ESENLER
3112,ACIKUYU
3113,ACI÷Z
3114,AKARCA
3115,AK›N
3116,AKTAﬁ
3117,AL›UﬁA–I
3118,BA–OBASI
3119,BALTALI
3120,B‹Y‹KDAMLACIK
3121,B‹Y‹KKIﬁLA
3122,«AT«AT
3123,«AVUﬁK÷Y
3124,«AYIR÷N‹
3125,CINGIL
3126,PARLASAN
3127,DO–ANKAYA
3128,ELEY
3129,FADILLI
3130,GE«›TL›
3131,HACIBEKTAﬁLI
3132,HAMZALI
3133,HAYDARLI
3134,KADINCIK
3135,KADIOBASI
3136,KARAB‹K
3137,KARAMOLLAUﬁA–I
3138,KARANDERE
3139,K‹«‹KDAMLACIK
3140,MUSTAFACIK
3141,MUSULAR
3142,ODUNBO–AZI
3143,PALAZOBASI
3144,SADIKLI
3145,SEYMENL›
3146,ﬁANLIKIﬁLA
3147,ﬁEKERK÷Y
3148,ﬁEREFL›DAVUTLU
3149,ﬁEYHL›
3150,‹ZENG›L›K
3151,YALNIZPINAR
3152,YAZIS÷–‹T
3153,YEﬁ›LYURT
3154,BO–AZ›«›
3155,EK›C›
3156,EMEK
3157,HACIENB›YA
3158,H‹RR›YET
3159,›ST›KLAL
3160,KALE
3161,SANAY›
3162,SARIKAYA
3163,YEN›
3164,YEﬁ›LOVA
3165,ﬁEYH KUYUSU
3166,TUZLA
3167,CUMHUR›YET
3168,YUSUFKUYUSU
3169,«AL÷REN
3170,DEVEKOVAN
3171,G‹LH‹Y‹K
3172,KACARLI
3173,AKSEK›
3174,MEHMET AK›F ERSOY
3175,DEL›LLER
3176,ATA
3177,TURGUT ÷ZAL
3178,KUZEY YILDIZI
3179,OST›M 
3180,YEN›BATI
3181,«AKIRLAR
3182,GAYRET
3183,AﬁA–I YAHYALAR
3184,KARACAKAYA
3185,MEML›K
3186,YAKACIK
3187,YUVA
3188,ANADOLU
3189,AVCILAR
3190,BARIﬁ
3191,BATI S›TES›
3192,BEﬁTEPE
3193,BUR«
3194,«AMLICA
3195,«ARﬁI
3196,U–UR MUMCU
3197,«›–DEMTEPE
3198,DEMET
3199,DEMETG‹L
3200,DEMETLALE
3201,EMN›YET
3202,ERGAZ›
3203,ERGENEKON
3204,ESENTEPE
3205,GAZ›
3206,G‹VENTEPE
3207,G‹ZELYAKA
3208,›LKYERLEﬁ›M
3209,›N÷N‹
3210,IﬁINLAR
3211,›VED›KK÷Y
3212,KALETEPE
3213,KARDELEN
3214,KARﬁIYAKA
3215,KAYALAR
3216,KENTKOOP
3217,MEHMET AK›F ERSOY
3218,MACUN
3219,YUKARI YAHYALAR
3220,YUNUS EMRE
3221,÷ZEVLER
3222,PAMUKLAR
3223,RAGIP T‹Z‹N
3224,TEPEALTI
3225,VARLIK
3226,CUMHUR›YET
3227,YEN›«A–
3228,YEﬁ›LEVLER
3229,25.03.2025
3230,BARIﬁTEPE
3231,SERHAT
3232,SUSUZ
3233,BO–AZ
3234,DEM›RC›LER
3235,FAKILAR
3236,HACI›LYAS
3237,S‹LEYMAN›YE
3238,G‹«L‹K÷Y
3239,YARPUZ
3240,CEV›ZL›
3241,KUYUCAK
3242,BADEML›
3243,AKﬁAHAP
3244,BELENALAN
3245,BUCAKALAN
3246,BUCAKKIﬁLA
3247,B‹Y‹KALAN
3248,«ANAKPINAR
3249,«›M›K÷Y
3250,D›KMEN
3251,DUTLUCA
3252,EM›RAﬁIKLAR
3253,H‹SAMETT›NK÷Y
3254,MENTEﬁBEY
3255,M›NAREL›
3256,SARIHACILAR
3257,SARIHAL›LLER
3258,CECELER
3259,«INARD›B›
3260,DE–›RMENL›K
3261,G‹M‹ﬁDAMLA
3262,G‹NYAKA
3263,KARAKIﬁLA
3264,SAL›HLER
3265,SUSUZﬁAHAP
3266,GER›ﬁ B.M
3267,ALA«EﬁME
3268,AﬁA–IAﬁIKLAR
3269,CEMERLER
3270,CENDEVE
3271,ERENYAKA
3272,G‹NEYKAYA
3273,HOCAK÷Y
3274,KEPEZ
3275,KEPEZBELEN›
3276,MAHMUTLU
3277,SADIKLAR
3278,S›NANHOCA
3279,G‹ZELSU 
3280,«ALTILI«UKUR
3281,«UKURK÷Y
3282,PINARBAﬁI
3283,TAﬁLICA
3284,YURTPINAR
3285,BOZTEPE
3286,SO–UCAKSU
3287,ALTINTAﬁ
3288,CUMHUR›YET
3289,DUMANLAR
3290,PINARLI
3291,«AMK÷Y
3292,MURTUNA
3293,C›HAD›YE
3294,«ALKAYA
3295,YEN›DUMANLAR
3296,ATAT‹RK
3297,BARBAROS
3298,FAT›H
3299,KONAK
3300,MACUN
3301,SOLAK
3302,FETTAHLI
3303,KARA÷Z
3304,ALAYLI
3305,G‹LOLUK
3306,›HSAN›YE
3307,KARA«ALLI
3308,KEMERA–ZI
3309,KURﬁUNLU
3310,KUNDU 
3311,KAYAD›B›
3312,YEﬁ›LKARAMAN
3313,G÷KDERE
3314,TOPALLI
3315,KUMK÷Y
3316,MANDIRLAR
3317,G‹ZELYURT
3318,HACIAL›LER
3319,HACIMEHMETL›
3320,FI–LA
3321,YASIRAL›
3322,D›NEK
3323,BEKTAﬁ
3324,CUMHUR›YET
3325,KIZLARPINARI
3326,›NCEKUM
3327,AK«ATI
3328,AKDAM
3329,ALACAM›
3330,ASMACA
3331,BADEMA–ACI
3332,BASIRLI
3333,BI«AK«I
3334,BUCAKK÷Y
3335,«AKALLAR
3336,DE–›RMENDERE
3337,DEREK÷Y
3338,EL›KES›K
3339,G÷Z‹K‹«‹KL‹
3340,G‹M‹ﬁKAVAK
3341,HACIKER›MLER
3342,KARAKOCALI
3343,KAYABAﬁI
3344,KIZILCAﬁEH›R
3345,KUZYAKA
3346,MAHMUTSEYD›
3347,OBAALACAM›
3348,÷TEK÷Y
3349,PAﬁAK÷Y
3350,SABURLAR
3351,SO–UKPINAR
3352,S‹LEYMANLAR
3353,TAﬁBAﬁI
3354,TOSLAK
3355,T‹RKTAﬁ
3356,U–URLU
3357,ALARA
3358,UZUN÷Z
3359,‹Z‹ML‹
3360,YAL«I
3361,YAYLALI
3362,YEN›K÷Y
3363,AL›EFEND›
3364,BAﬁK÷Y
3365,BELD›B›
3366,BEYREL›
3367,B‹Y‹KPINAR
3368,«AMLICA
3369,FAKIRCALI
3370,HOCALAR
3371,›MAMLI
3372,›SHAKLI
3373,›SPATLI
3374,KARAPINAR
3375,KEﬁEFL›
3376,KOCAO–LANLI
3377,÷ZVAD›
3378,SAPADERE
3379,SEK›
3380,ﬁEYHLER
3381,TIRILAR
3382,U–RAK
3383,YAYLAKONAK
3384,YEﬁ›L÷Z
3385,BAYIRKOZA–ACI
3386,BAYIRK÷Y
3387,BUR«AKLAR
3388,G÷Z‹B‹Y‹K
3389,G‹M‹ﬁG÷ZE
3390,G‹NEYK÷Y
3391,KARAMANLAR
3392,ORHANK÷Y
3393,YEN›CE
3394,AVSALLAR
3395,KESTEL
3396,KONAKLI
3397,MAHMUTLAR
3398,OBA
3399,OKURCALAR
3400,PAYALLAR
3401,T‹RKLER
3402,DEM›RTAﬁ
3403,G‹ZELBA–
3404,EM›ﬁBELEN›
3405,C›KC›LL›
3406,KARGICAK
3407,TOSMUR
3408,B‹Y‹KHASBAH«E
3409,«ARﬁI
3410,G‹LLERPINARI
3411,HACET
3412,H›SAR›«›
3413,KADIPAﬁA
3414,K‹«‹KHASBAH«E
3415,SARAY
3416,SUG÷Z‹
3417,ﬁEKERHANE
3418,TEPE
3419,TOPHANE
3420,«IPLAKLI
3421,ALAKENT
3422,G÷KYAZI
3423,B‹Y‹KKUM
3424,YAYLAKAYA
3425,BEYMELEK
3426,BEL÷REN
3427,«A–MAN
3428,«EVREL›
3429,DAVAZLAR
3430,G‹RSES
3431,KALE‹«A–IZ
3432,KAPAKLI
3433,K÷ﬁKERLER
3434,YAVU
3435,K‹«‹KKUM
3436,KARABUCAK
3437,KAYAALTI
3438,DA–BEL›
3439,NEB›LER
3440,KARAMAN
3441,YALINLI
3442,ALTINKALE
3443,D‹ZLER«AMI
3444,YEﬁ›LBAYIR
3445,AYANLAR
3446,ORTA
3447,AYDINLAR
3448,«I–LIK
3449,AKKO«
3450,BADEMA–ACI
3451,AHIRTAﬁ
3452,AﬁA–IOBA
3453,BIYIKLI
3454,CAM›L›
3455,DEREL›
3456,ILICAK÷Y
3457,KARATAﬁ
3458,KEVﬁ›RLER
3459,K›LL›K
3460,KOVANLIK
3461,K÷M‹RC‹LER
3462,SEL›M›YE
3463,YA–CA
3464,EKﬁ›L›
3465,KARAVEL›LER
3466,BAH«EYAKA
3467,«IPLAKLI
3468,TOMALAR
3469,YEN›K÷Y
3470,BAYINDIR
3471,BAYRALAR
3472,BEYLER
3473,BOZH‹Y‹K
3474,B‹Y‹KS÷–LE
3475,DEREK÷Y
3476,D‹DENK÷Y
3477,ESK›H›SAR
3478,EYM›R
3479,GE«›TK÷Y
3480,GE«MEN
3481,G÷KPINAR
3482,G÷LTARLA
3483,HACIMUSALAR
3484,HACIYUSUFLAR
3485,›M›RC›K
3486,KARAMIK
3487,KIﬁLAK÷Y
3488,KOCAPINAR
3489,KUZK÷Y
3490,K‹«‹KS÷–LE
3491,MACUN
3492,MURSAL
3493,P›RHASANLAR
3494,SALUR
3495,TAVULLAR
3496,YAKA«›FTL›KK÷Y‹
3497,YALNIZDAM
3498,YAPRAKLI
3499,YILMAZLI
3500,Y÷RENLER
3501,AFﬁAR
3502,AHATLI
3503,AK«AEN›ﬁ
3504,ARMUTLU
3505,«AYBAﬁI
3506,›SLAMLAR
3507,KIZILCA
3508,SARILAR
3509,TEKKEK÷Y
3510,Z‹MR‹TOVA
3511,M‹REN
3512,›LYA–I
3513,«OBAN›SA
3514,«UKURELMA
3515,G‹M‹ﬁYAKA
3516,KARAK÷Y
3517,OVACIK
3518,÷ZDEM›R
3519,YUVA
3520,AK«AY
3521,CAM›AT›K
3522,CAM›CED›T
3523,G‹NDO–AN
3524,›PL›KPAZARI
3525,KAPMESC›T
3526,KARYA–DI
3527,TAHTAMESC›T
3528,TOKLULAR
3529,YEN›
3530,ESK›
3531,›SKELE
3532,KALE
3533,KIZILCA
3534,YEN›
3535,HASYURT
3536,SAH›LKENT
3537,TURUN«OVA
3538,YEﬁ›LYURT
3539,AK«AALAN
3540,ALACADA–
3541,AR›F
3542,YEﬁ›LK÷Y
3543,BOLDA–
3544,«AMLIBEL
3545,DA–BA–
3546,G÷KB‹K
3547,G÷K«EYAKA
3548,ERNEZ
3549,YALNIZ
3550,YAZIR
3551,ASAR÷N‹
3552,YUVALI
3553,KARﬁIYAKA
3554,KUM
3555,SAKLISU
3556,SARIA–A«
3557,ESENTEPE
3558,CUMHUR›YET
3559,AYDIN
3560,GAZ›
3561,AKOLUK
3562,AYDINCIK
3563,BEYOBASI
3564,BEYREBUCAK
3565,«AKMAK
3566,«ALIPINAR
3567,«AMLICA
3568,«I–LIK
3569,«›LE
3570,«›MENBA–
3571,«OBANLAR
3572,DO–ANCA
3573,ESENPINAR
3574,G÷«‹K
3575,G÷K«EBELEN
3576,G÷K«ESARAY
3577,G‹NEYK÷Y
3578,G‹R«AM
3579,HASDERE
3580,ILICAK÷Y
3581,›NALK÷Y
3582,›NCE–›Z
3583,KARA«UKUR
3584,KARALAR
3585,KARATEPE
3586,KIRAHMETLER
3587,KIZILG‹NEY
3588,KORUBAﬁI
3589,K‹«‹KL‹
3590,MACARK÷Y
3591,MUZKENT
3592,÷ZNURTEPE
3593,SUG÷Z‹
3594,ﬁAH›NLER
3595,‹«KONAK
3596,YAKACIK
3597,YEN›G‹NEY
3598,YEN›K÷Y
3599,YEﬁ›LYURT
3600,ZEYT›NADA
3601,KAHYALAR
3602,BAKILAR
3603,EKMEL
3604,›ST›KLAL
3605,KORU
3606,PAZARCI
3607,YEN›
3608,«÷R‹ﬁ
3609,RAS›H KAPLAN
3610,÷Z‹G‹R
3611,K÷PR‹L‹
3612,SEN›R
3613,ORTAK÷Y
3614,«AYIR÷Z‹
3615,«›«EKOLUK
3616,G‹NEYC›K
3617,G‹NEYYAKA
3618,KALEC›K
3619,KARABUL
3620,KARADERE
3621,KARA›SA
3622,KOZA–ACI
3623,NARA–ACI
3624,PEMBEL›K
3625,SER›NYAKA
3626,UMUTLU
3627,AKYAR
3628,BALKAYA
3629,BEDAN
3630,«ALTI
3631,«AMLIALAN
3632,ESK›BA–
3633,KARAK÷Y
3634,KAYAB‹K‹
3635,YEN›K÷Y
3636,FAT›H
3637,ORTAKONUﬁ
3638,D‹ZLEN
3639,«UKURV›RAN
3640,BAﬁLAR
3641,‹R‹NL‹
3642,‹Z‹MDERE
3643,AﬁA–I
3644,YUKARI
3645,AYDINYAYLA
3646,ORMANA
3647,KALKAN
3648,KINIK
3649,OVA
3650,MERKEZ
3651,G÷MBE
3652,YEﬁ›LK÷Y
3653,A–ILLI
3654,AHATLI
3655,AK÷R‹
3656,BAYINDIR
3657,BELD›B›
3658,BELENL›
3659,BELKONAK
3660,SAH›L BARAK
3661,«ATALOLUK
3662,«ERLER
3663,«EﬁMEK÷Y
3664,«UKURBA–
3665,DEREK÷Y
3666,D›RGENLER
3667,DO–ANTAﬁ
3668,G‹RSU
3669,G÷K«E÷REN
3670,G÷K«EYAZI
3671,KARADA–
3672,KASABA
3673,KEMERK÷Y
3674,KILI«LI
3675,KILI«LIYAYLA
3676,KIZILA–A«
3677,ORTABA–
3678,PINARBAﬁI
3679,SARILAR
3680,S›NNEL›
3681,S‹TLE–EN
3682,U–RAR
3683,YEN›K÷Y
3684,YEﬁ›LBARAK
3685,AKLAR
3686,BEZ›RGAN
3687,«AMLIK÷Y
3688,«AMLIOVA
3689,«AVDIR
3690,«AYK÷Y
3691,GELEM›ﬁ
3692,HACIO–LAN
3693,›K›ZCE
3694,›SLAMLAR
3695,PALAMUTK÷Y
3696,SARIBELEN
3697,‹Z‹ML‹
3698,YAYLAPALAMUT
3699,YUVACIK
3700,CEMRE
3701,YEN›MAHALLE
3702,MERKEZ
3703,K›R›ﬁ
3704,ARSLANBUCAK
3705,BELD›B›
3706,KUZDERE
3707,BEYC›K
3708,OVACIK
3709,ULUPINAR
3710,TEK›ROVA
3711,«AMYUVA
3712,G÷YN‹K
3713,VARSAK ESENTEPE
3714,VARSAK KARﬁIYAKA
3715,VARSAK MENDERES
3716,YEN›EMEK
3717,YEN›MAHALLE
3718,Y‹KSEL›ﬁ
3719,D‹DENBAﬁI
3720,FAT›H
3721,KARﬁIYAKA
3722,KUZEYYAKA
3723,TEOMANPAﬁA
3724,YEﬁ›LTEPE
3725,G÷«ERLER
3726,HAB›BLER
3727,K‹LT‹R
3728,G÷KSU
3729,G‹NEﬁ
3730,KEPEZ
3731,EMEK
3732,ERENK÷Y
3733,ESENTEPE
3734,ﬁELALE
3735,GAZ›LER
3736,DUACI
3737,«AMLICA
3738,KIZILLI
3739,K›R›ﬁ«›LER
3740,ODABAﬁI
3741,AKTOPRAK
3742,AYDO–MUﬁ
3743,ALTIAYAK
3744,AYANO–LU
3745,BARIﬁ
3746,BEﬁKONAKLILAR
3747,DURAL›LER
3748,SANTRAL
3749,ULUS
3750,DEM›REL
3751,MEHMET AK›F ERSOY
3752,AHATLI
3753,BAﬁK÷Y
3754,G‹LVEREN
3755,ZEYT›NL›K
3756,AVN› TOLUNAY
3757,BARAJ
3758,«ANKAYA
3759,KANAL
3760,÷ZG‹RL‹K
3761,ALTINOVA ORTA
3762,«AMLIBEL
3763,FEVZ› «AKMAK
3764,S‹T«‹LER
3765,ALTINOVA S›NAN
3766,YEﬁ›LYURT
3767,ATAT‹RK
3768,G‹NDO–DU
3769,K‹T‹K«‹
3770,ﬁAFAK
3771,ZAFER
3772,FABR›KALAR
3773,H‹SN‹KARAKAﬁ
3774,YAVUZ SEL›M
3775,ALTINOVA D‹DEN
3776,GAZ›
3777,‹NSAL
3778,KAZIMKARABEK›R
3779,MENDERES
3780,YEN›DO–AN
3781,G‹RSU
3782,PINARBAﬁI
3783,«AKIRLAR
3784,G÷KDERE
3785,SARISU
3786,UNCALI
3787,ULU«
3788,Z‹MR‹T
3789,KARATEPE
3790,TOROS
3791,AKKUYU
3792,DEM›RC›L›K
3793,SU›«ECE–›
3794,AKDAMLAR
3795,AﬁA–IKARAMAN
3796,BAHTILI
3797,«A–LARCA
3798,GEY›KBAYIRI
3799,«›TD›B›
3800,HACISEK›L›LER
3801,H›SAR«ANDIRI
3802,‹«OLUK
3803,YARBAﬁ«ANDIR
3804,ARAPSUYU
3805,KUﬁKAVA–I
3806,L›MAN
3807,HURMA
3808,S›TELER
3809,MOLLAYUSUF
3810,AYDINLIK
3811,ALTINKUM
3812,KURU«AY
3813,÷–RETMENEVLER›
3814,DOYRAN «AMLIBEL
3815,DOYRAN DA–
3816,KIR
3817,G÷K«AM
3818,DOYRAN
3819,YEN›MAHALLE
3820,DURAL›LER
3821,G÷«ERLER
3822,YUKARIKARAMAN
3823,K‹«‹KK÷Y
3824,BOZOVA
3825,«OMAKLI
3826,YELTEN
3827,YEﬁ›LYAYLA
3828,ALAADD›N
3829,AﬁA–IPAZAR
3830,KARﬁIYAKA
3831,K›REM›TL›
3832,UZUNOLUK
3833,YEN›
3834,B‹Y‹KK÷Y
3835,AKYAR
3836,AVDAN
3837,YELEME
3838,BAYAT
3839,BAYATBADEMLER›
3840,BE–›ﬁ
3841,DEREK÷Y
3842,ESENYURT
3843,KEVZER
3844,G‹ZLE
3845,›MEC›K
3846,›MRAHOR
3847,KARABAYIR
3848,KARATAﬁ
3849,KARGALIK
3850,KARGIN
3851,KEMERA–ZI
3852,KIRKPINAR
3853,K÷SELER
3854,S÷–‹TC‹K
3855,S‹LEKLER
3856,TAﬁKES›–›
3857,TATK÷Y
3858,SIMANDIR
3859,YAZIR
3860,«AYKENARI
3861,«UKURCA
3862,GAR›P«E
3863,KARAKUYU
3864,LEYLEKK÷Y
3865,YAKAK÷Y
3866,YALINLIGED›–›
3867,KIZILCADA–
3868,BAH«EYAKA
3869,«IVGALAR
3870,KAYABAﬁI
3871,KIZILAL›LER
3872,KOZA–ACI
3873,K‹«‹KL‹
3874,MAMATLAR
3875,NEB›LER
3876,OSMANKALFALAR
3877,MANAY
3878,YEﬁ›LOBA
3879,BELEN
3880,BEﬁ›K«›
3881,«AY›«›
3882,ERENTEPE
3883,G‹Z÷REN
3884,HACIVEL›LER
3885,HIZIRKAHYA
3886,›NC›RC›K
3887,KARACA÷REN
3888,KAVAKK÷Y
3889,ORTAK÷Y
3890,YAZIR
3891,SALUR
3892,SARICASU
3893,TOPTAﬁ
3894,YEN›KIﬁLA
3895,YEﬁ›LK÷Y
3896,ALTINYAKA
3897,B‹Y‹KALAN
3898,«ALTI
3899,DEREK÷Y
3900,G÷LC‹K
3901,KARACAA–A«
3902,KUZCA
3903,BA–LIK
3904,ESK›CAM›
3905,KARﬁIYAKA
3906,SARIKAVAK
3907,KASAP«AYIRI
3908,YEN›
3909,BEYKONAK
3910,ADRASAN
3911,MAV›KENT
3912,CUMHUR›YET
3913,ELL›NC› YIL
3914,G÷KSU
3915,KUM
3916,MERKEZ
3917,MEYDAN
3918,NARENC›YE
3919,TEMEL E–›T›M 
3920,ESK› H›SAR
3921,SALKIM EVLER
3922,M›LL› EGEMENLIK
3923,AYDINEVLER
3924,BAH«EL›EVLER
3925,«A–LAYAN
3926,EMEK
3927,KAVAKLI
3928,M›MARS›NAN
3929,÷RNEK
3930,SANAY›
3931,KASAPLAR
3932,UZUNKALE
3933,«OLAKLI
3934,ILICA
3935,S›DE
3936,TAﬁA–IL
3937,AﬁA–IH›SAR
3938,AﬁA–IPAZARCI
3939,ﬁELALE
3940,YAYLA
3941,YUKARIPAZARCI
3942,YUKARIH›SAR
3943,SORGUN
3944,G‹NDO–DU
3945,SARILAR
3946,OYMAPINAR
3947,EVRENSEK›
3948,KIZILOT
3949,G‹LTEPE
3950,DEN›ZKENT
3951,YEN›K÷Y
3952,AHMETLER
3953,AKSAZ
3954,AﬁA–I IﬁIKLAR
3955,BELENOBASI
3956,BOZTEPE
3957,BUCAKﬁEYHLER
3958,CEV›ZLER
3959,NAMARAS
3960,«AVUﬁK÷Y
3961,«AYYAZI
3962,«ELT›K«›
3963,«ENGER
3964,KARAVCA
3965,DEM›RC›LER
3966,D›KMEN
3967,DO–AN«AM
3968,DOLBAZLAR
3969,EVRENLERYAVﬁI
3970,GEBECE
3971,GEN«LER
3972,G‹ZELYALI
3973,HACIAL›
3974,HACI›SALI
3975,HACIOBASI
3976,HAL›TA–ALAR
3977,HAT›PLER
3978,HOCALI
3979,KADILAR
3980,KALEMLER
3981,KARACALAR
3982,KARAKAYA
3983,KARA÷Z
3984,KIZILA–A«
3985,ODA÷N‹
3986,÷RENﬁEH›R
3987,SALUR
3988,SARA«LI
3989,SEV›N«K÷Y
3990,SEYD›LER
3991,SIRTK÷Y
3992,S‹LEK
3993,ﬁ›ﬁELER
3994,TAﬁKES›–›
3995,TEPEK÷Y
3996,T›LK›LER
3997,ULUKAPI
3998,UZUNLAR
3999,YAL«ID›B›
4000,YAYLAALAN
4001,YUKARI IﬁIKLAR
4002,BEﬁKONAK
4003,ALTINKAYA
4004,BALLIBUCAK
4005,BURMAHAN
4006,«ALTEPE
4007,DE–›RMEN÷Z‹
4008,D‹ZA–A«
4009,GAZ›LER
4010,KARAB‹K
4011,KIRKKAVAK
4012,YEﬁ›LBA–
4013,BEREKET
4014,BEYD›–›N
4015,B‹KL‹CE
4016,«AKIﬁ
4017,«ARDAKK÷Y
4018,DEN›ZYAKA
4019,HOCALAR
4020,KARABUCAK
4021,KISALAR
4022,KIZILDA–
4023,PERAKENDE
4024,SA–IR›N
4025,YAVRUDO–AN
4026,MURATPAﬁA
4027,BARBAROS
4028,GEB›ZL›
4029,GEN«L›K
4030,KIZILTOPRAK
4031,MEYDANKAVA–I
4032,SED›R
4033,S›NAN
4034,TUZCULAR
4035,VARLIK
4036,G‹ZELOBA
4037,G‹ZELOLUK
4038,TARIM
4039,Z‹MR‹TOVA
4040,DEM›RC›KARA
4041,DO–UYAKA
4042,MELTEM
4043,ZERDAL›L›K
4044,ALTINDA–
4045,«AYBAﬁI
4046,G‹VENL›K
4047,KONUKSEVER
4048,YEN›G÷L
4049,YEﬁ›LDERE
4050,MEHMET«›K
4051,YEN›G‹N
4052,Y‹KSEKALAN
4053,TOP«ULAR
4054,CUMHUR›YET
4055,ET›LER
4056,HAﬁ›M›ﬁCAN
4057,KILI«ARSLAN
4058,KIﬁLA
4059,«A–LAYAN
4060,BAYINDIR
4061,G‹ZELBA–
4062,MEMUREVLER›
4063,TAHILPAZARI
4064,ELMALI
4065,‹«GEN
4066,KIZILARIK
4067,YEﬁ›LOVA
4068,ﬁ›R›NYALI
4069,YILDIZ
4070,DEN›Z
4071,FENER
4072,KIZILSARAY
4073,SEL«UK
4074,SO–UKSU
4075,BAH«EL›EVLER
4076,YEﬁ›LBAH«E
4077,BALBEY
4078,DUTLUBAH«E
4079,ERMENEK
4080,KIRCAM›
4081,GED›K
4082,K‹R‹ﬁ
4083,CUMALI
4084,AK«AALAN
4085,CUMHUR›YET
4086,AKINLAR
4087,HASPINAR
4088,AKBAﬁ
4089,ALACAM›
4090,AﬁA–I«ATMA
4091,AﬁA–IKOCAYATAK
4092,BEREND›
4093,B›LG›NLER
4094,BUCAKK÷Y
4095,BURMAHANCI
4096,B‹–‹ﬁ
4097,«AKALLIK
4098,«ANAK«I
4099,DEN›ZTEPES›
4100,D›KMEN
4101,EM›NCELER
4102,ESK›Y‹R‹K
4103,G÷K«EPINAR
4104,KARATAﬁ
4105,KARINCALI
4106,KAYABURNU
4107,KOZA–ACI
4108,KUﬁLAR
4109,PINARCIK
4110,SARIABALI
4111,ﬁATIRLI
4112,‹R‹ND‹
4113,YANK÷Y
4114,YEﬁ›LYURT
4115,ZIRLANKAYA
4116,AK«APINAR
4117,AﬁA–IOBA
4118,BOZDO–AN
4119,«ATALLAR
4120,DEM›RC›LER
4121,DORUMLAR
4122,ETLER
4123,HACIOSMANLAR
4124,HASD‹MEN
4125,HASKIZIL÷REN
4126,KIRBAﬁ
4127,KOZAN
4128,NEB›LER
4129,TEKKEK÷Y
4130,T‹NG‹ﬁL‹
4131,YUKARI«ATMA
4132,YUMAKLAR
4133,YEﬁ›LVAD›
4134,BELEK
4135,BO–AZKENT
4136,BELKIS
4137,BELPINAR
4138,K÷KEZ
4139,MERKEZ
4140,ORTA
4141,YEN›
4142,«ANDIR
4143,KADR›YE
4144,KARADAYI
4145,YUKARIKOCAYATAK
4146,GEB›Z
4147,ABDURRAHMANLAR
4148,G‹R«AYIR
4149,HAL›LEFEND›
4150,KARAG÷L
4151,KAPTANPAﬁA
4152,YEN›MAHALLE
4153,ATAT‹RK
4154,›N÷N‹
4155,AﬁIKﬁENL›K
4156,«ILDIR MERKEZ
4157,KUZUKAYA
4158,YILDIRIMTEPE
