ILCE_NO,ILCE_ADI
1161,MERKEZ KAYMAKLI
1162,MERKEZ NAR
1163,MERKEZ SULUSAYAR
1164,MERKEZ U«H›SAR
1165,NEVﬁEH›R ›L MERKEZ›
1166,‹RG‹P ORTAH›SAR
1167,ALTUNH›SAR KARAKAPI
1168,ALTUNH›SAR KE«›KALES›
1169,BOR BAH«EL›
1170,BOR «UKURKOYU
1171,BOR KEMERH›SAR
1172,«›FTL›K AZATLI
1173,«›FTL›K BOZK÷Y
1174,«›FTL›K D›VARLI
1175,MERKEZ AKTAﬁ
1176,MERKEZ ALAY
1177,MERKEZ BA–LAMA
1178,MERKEZ DE–›RMENL›
1179,MERKEZ D‹NDARLI
1180,MERKEZ ED›KL›
1181,MERKEZ G‹M‹ﬁLER
1182,MERKEZ HACIABDULLAH
1183,MERKEZ KARATLI
1184,MERKEZ K›LEDERE
1185,MERKEZ KONAKLI
1186,MERKEZ ORHANLI
1187,MERKEZ SAZLICA
1188,MERKEZ YEﬁ›LG÷LC‹K
1189,MERKEZ YILDIZTEPE
1190,N›–DE ›L MERKEZ›
1191,D‹Z›«› ATALAN
1192,D‹Z›«› B÷CEKL›
1193,D‹Z›«› ELLEK
1194,D‹Z›«› YARBAﬁI
1195,MERKEZ CEVDET›YE
1196,OSMAN›YE ›L MERKEZ›
1197,SUMBAS MEHMETL›
1198,ARDEﬁEN TUNCA
1199,«AYEL› B‹Y‹KK÷Y
1200,«AYEL› MADENL›
1201,MERKEZ KEND›RL›
1202,MERKEZ MURAD›YE
1203,MERKEZ SALARHA
1204,R›ZE ›L MERKEZ›
1205,BAYKAN VEYSELKARAN›
1206,KURTALAN KAYABA–LAR
1207,MERKEZ G÷K«EBA–
1208,PERVAR› BE–END›K
1209,S››RT ›L MERKEZ›
1210,T›LLO AYDINLAR
1211,S›NOP ›L MERKEZ›
1212,ALTINYAYLA DEL››LYAS
1213,GEMEREK «EPN›
1214,GEMEREK SIZIR
1215,MERKEZ YILDIZ
1216,S›VAS ›L MERKEZ›
1217,ﬁARKIﬁLA CEMEL
1218,ﬁARKIﬁLA G‹R«AYIR
1219,YILDIZEL› G‹NEYKAYA
1220,G‹«L‹KONAK FINDIK
1221,›D›L KARALAR
1222,›D›L SIRTK÷Y
1223,MERKEZ BALVEREN
1224,MERKEZ KASR›K
1225,MERKEZ KUM«ATI
1226,S›LOP› BAﬁVER›ML›
1227,S›LOP› «ALIﬁKAN
1228,S›LOP› G÷R‹ML‹
1229,ﬁIRNAK ›L MERKEZ›
1230,ULUDERE H›LAL
1231,ULUDERE ﬁENOBA
1232,ULUDERE UZUNGE«›T
1233,ALMUS AKAR«AY G÷R‹ML‹
1234,ALMUS ATAK÷Y
1235,ALMUS «EVREL›
1236,ALMUS G÷LGEL›
1237,ALMUS KINIK
1238,BAﬁ«›FTL›K HAT›PL›
1239,ERBAA G÷KAL
1240,ERBAA KARAYAKA
1241,ERBAA TANOBA
1242,MERKEZ «AMLIBEL
1243,MERKEZ «AT
1244,MERKEZ EM›RSEY›T
1245,MERKEZ G‹RYILDIZ
1246,N›KSAR G÷K«EL›
1247,N›KSAR G‹R«EﬁME
1248,N›KSAR SERENL›
1249,N›KSAR YAZICIK
1250,N›KSAR YOLKONAK
1251,PAZAR ‹Z‹M÷REN
1252,REﬁAD›YE BAYDARLI
1253,REﬁAD›YE BEREKETL›
1254,REﬁAD›YE BOZ«ALI
1255,REﬁAD›YE C›M›TEKKE
1256,REﬁAD›YE DEM›RC›L›
1257,REﬁAD›YE HASANﬁEYH
1258,TOKAT ›L MERKEZ›
1259,TURHAL ﬁENYURT
1260,MAZG›RT AKPAZAR
1261,TUNCEL› ›L MERKEZ›
1262,BANAZ KIZILCAS÷–‹T
1263,EﬁME YELE–EN
1264,S›VASLI PINARBAﬁI
1265,S›VASLI SEL«›KLER
1266,S›VASLI TATAR
1267,UﬁAK ›L MERKEZ›
1268,ALTINOVA KAYTAZDERE
1269,ALTINOVA SUBAﬁI
1270,ALTINOVA TAVﬁANLI
1271,«INARCIK ESENK÷Y
1272,«INARCIK KORU
1273,«INARCIK TEﬁV›K›YE
1274,«›FTL›KK÷Y TAﬁK÷PR‹
1275,MERKEZ KADIK÷Y
1276,YALOVA ›L MERKEZ›
1277,AKDA–MADEN› BELEK«AHAN
1278,AKDA–MADEN› OLUK÷Z‹
1279,AKDA–MADEN› UMUTLU
1280,AYDINCIK BAYD›–›N
1281,BO–AZLIYAN OVAKENT
1282,BO–AZLIYAN SIR«ALI
1283,BO–AZLIYAN UZUNLU
1284,BO–AZLIYAN YAMA«LI
1285,BO–AZLIYAN YEN›PAZAR
1286,«AYIRALAN KONUKLAR
1287,«EKEREK ÷Z‹KAVAK
1288,KADIﬁEHR› HALIK÷Y
1289,SARAYKENT DEDEFAKILI
1290,SARAYKENT OZAN
1291,SARIKAYA KARAYAKUP
1292,SORGUN ARAPLI
1293,SORGUN BAHADIN
1294,SORGUN «›–DEML›
1295,SORGUN DO–AKENT
1296,SORGUN EYM›R
1297,SORGUN G‹LﬁEHR›
1298,SORGUN YEN›YER
1299,YOZGAT ›L MERKEZ›
1300,ALAPLI G‹MEL›
1301,«AYCUMA F›LYOS
1302,«AYCUMA KARAPINAR
1303,«AYCUMA NEB›O–LU
1304,«AYCUMA PERﬁEMBE
1305,«AYCUMA SALTUKOVA
1306,DEVREK «AYDE–›RMEN›
1307,ERE–L› G‹L‹«
1308,ERE–L› KAND›LL›
1309,ERE–L› ORMANLI
1310,G÷K«EBEY BAKACAKKADI
1311,K›L›ML› «ATALA–ZI
1312,K›L›ML› GEL›K
1313,K›L›ML› MUSLU
1314,MERKEZ BEYCUMA
1315,MERKEZ ELVANPAZARCIK
1316,MERKEZ KARAMAN
1317,ZONGULDAK ›L MERKEZ›
1318,MERKEZ
1319,MERKEZ
1320,MERKEZ
1321,MERKEZ
1322,MERKEZ
1323,MERKEZ
1324,MERKEZ
1325,MERKEZ
1326,MERKEZ
1327,MERKEZ
1328,MERKEZ
1329,MERKEZ
1330,MERKEZ
1331,MERKEZ
1332,MERKEZ
1333,MERKEZ
1334,MERKEZ
1335,MERKEZ
1336,MERKEZ
1337,MERKEZ
1338,MERKEZ
1339,MERKEZ
1340,MERKEZ
1341,MERKEZ
1342,MERKEZ
1343,MERKEZ
1344,MERKEZ
1345,MERKEZ
1346,MERKEZ
1347,MERKEZ
1348,MERKEZ
1349,MERKEZ
1350,MERKEZ
1351,MERKEZ
1352,MERKEZ
1353,MERKEZ
1354,MERKEZ
1355,MERKEZ
1356,MERKEZ
1357,MERKEZ
1358,MERKEZ
1359,MERKEZ
1360,MERKEZ
1361,MERKEZ
1362,MERKEZ
1363,MERKEZ
1364,MERKEZ
1365,MERKEZ
1366,MERKEZ
1367,MERKEZ
1368,MERKEZ
